link_id,abs_key,source,target,wkt,nature,possol
23,TRONROUT0000000358026076,1425,1426,"LINESTRING (945478.1 6439406.4, 945481.6 6439401.9, 945484 6439396.4, 945484 6439391, 945483.9 6439384.3, 945482.8 6439381.6, 945482.8 6439379.7, 945482.8 6439377.9, 945482.4 6439364.3, 945479.2 6439345.7, 945474.1 6439322.6, 945474.1 6439297.6, 945479.4 6439276.2, 945486.2 6439261.1, 945494.2 6439254.3, 945501 6439246.2, 945506.7 6439239.5, 945511.8 6439233, 945517.8 6439220.8, 945521.3 6439213.7, 945533.5 6439199.7, 945541.5 6439188.8, 945552.4 6439173.5, 945563.6 6439155, 945569.8 6439142.3, 945574.4 6439128.4, 945577.3 6439113.9, 945579.9 6439098.8, 945581.5 6439077.1, 945581.8 6439059.4)",Sentier,0
24,TRONROUT0000002002037914,1427,1428,"LINESTRING (947321.5 6433152.4, 947318 6433158.1, 947318 6433161.1, 947318 6433165.1, 947316.4 6433169.2, 947316.1 6433171.5, 947321.9 6433187, 947324.9 6433196.5, 947325.4 6433200.5, 947327.4 6433235, 947328.1 6433270, 947327.6 6433277.6)",Sentier,0
25,TRONROUT0000002002037938,1429,1430,"LINESTRING (947953.8 6425781.7, 947926.1 6425761.6, 947887.1 6425732.7, 947881 6425719, 947879.2 6425716.4, 947879.9 6425713.9, 947882.4 6425713.9, 947885.1 6425712.7, 947884 6425708.4, 947882.8 6425705.6, 947880.5 6425700.7, 947875.7 6425697.7, 947870 6425693.5, 947869.9 6425690.8, 947871.5 6425686.2, 947875.9 6425683.4, 947886.5 6425680.4, 947889.5 6425679.3, 947890.9 6425677.6, 947888.8 6425675.6, 947888.4 6425672.8, 947890.7 6425671.8, 947892.5 6425669.3, 947893.2 6425659.4, 947892.3 6425657.3, 947886.5 6425654.5, 947882.6 6425651.9, 947881.9 6425649.2, 947879 6425649, 947877.8 6425647.6, 947876.7 6425645.9, 947874.5 6425644.4, 947873.4 6425639.1, 947872.1 6425635.2, 947870.4 6425633.8, 947869 6425632.4, 947869.3 6425630.3, 947876.5 6425623.3, 947878.8 6425622.7, 947881.3 6425619.9, 947880.6 6425615.5, 947877 6425614.4, 947878.4 6425613, 947881.1 6425611.6, 947881.4 6425610, 947879.5 6425608.1, 947880.6 6425604, 947879.9 6425601.7, 947875.6 6425600.2, 947867.1 6425595.9, 947866.4 6425593.6, 947866.4 6425590.8, 947864.9 6425588.9, 947867.7 6425587.8, 947868.6 6425585.9, 947864.1 6425583.2, 947870.7 6425578.1, 947873.8 6425572.4, 947871.2 6425571.5, 947868.5 6425571.5, 947867.5 6425568.8, 947870.1 6425567.4, 947870.5 6425565, 947868.7 6425564.1, 947865.9 6425562.1, 947864.8 6425561.6, 947865.7 6425557.7, 947862.7 6425554.4, 947873.8 6425508.8, 947883.2 6425485.6, 947883.1 6425471.2, 947877.6 6425466.5, 947869.5 6425463.5, 947859 6425460.5, 947853 6425457.5, 947851.8 6425446.9, 947859.6 6425442.1, 947877.6 6425440.7, 947894 6425437.7, 947929.3 6425427.6, 947951.7 6425409.1, 947970.5 6425395.3, 947971.9 6425390.9, 947971.5 6425387.2, 947968.3 6425381.2, 947968.3 6425375.1, 947971 6425366.8, 947974.3 6425363.4, 947992 6425350.7, 947995.7 6425346.1, 947996.1 6425335.2, 947998.4 6425315.5, 948001.2 6425309.5, 948007.4 6425298.4, 948025.9 6425299.5, 948024.5 6425288.2, 948031.2 6425280.1, 948031.4 6425254.6)",Sentier,0
26,TRONROUT0000002006316626,1431,1432,"LINESTRING (947948.8 6434186.9, 947954.8 6434186, 947952 6434182.2, 947951.3 6434176.3, 947949 6434170.9, 947946.2 6434166.1, 947943.9 6434160.3, 947939.2 6434153.6)",Sentier,0
27,TRONROUT0000002002037845,1433,1434,"LINESTRING (947021.9 6438994.7, 947026.9 6438979.5, 947027.4 6438974.8, 947025.8 6438970.6, 947023.2 6438966.7, 947010.6 6438957.3, 947002.4 6438948.5, 946996.7 6438940, 946993.7 6438931, 946993.9 6438917.5, 946993.4 6438908.7, 946991.5 6438903.5, 946988 6438898.9, 946966.7 6438886.5, 946950 6438878.4, 946939 6438876.1, 946920.6 6438871.4, 946915.5 6438869.6, 946909.9 6438865.1, 946887.6 6438843.6, 946873.7 6438838.1)",Chemin,0
28,TRONROUT0000002002037883,1435,1436,"LINESTRING (944758.3 6437777.9, 944756.5 6437792.7, 944761.5 6437793.7, 944769.2 6437787.4, 944775.6 6437784.2, 944785.5 6437779.6, 944791.8 6437777.1, 944801.4 6437776.4, 944812.3 6437777.1, 944821.5 6437780.7, 944830 6437784.6, 944841.3 6437788.1, 944849 6437788.1, 944861.4 6437796.7, 944867.9 6437800.1, 944871.5 6437805.3, 944875.1 6437808.6, 944875.1 6437815, 944866.4 6437823.3, 944850.8 6437834.4, 944842.5 6437837.5, 944834.8 6437838.9, 944821.5 6437842.4, 944815.8 6437849.1, 944815.8 6437856.1, 944818 6437861.8, 944826.4 6437867, 944839.1 6437867, 944852.2 6437867, 944865.1 6437865, 944882.3 6437865.1, 944888.6 6437867.3, 944893.5 6437878, 944892.5 6437892.4, 944897.8 6437900.5, 944894.7 6437905.4, 944888.3 6437905.4, 944887.6 6437907.5, 944896.4 6437917.7, 944895 6437925.1, 944888.3 6437931.1, 944887.6 6437941, 944893.9 6437944.9, 944890.8 6437956.2, 944889.4 6437965.3, 944887.8 6437975.3, 944872.2 6437991.9, 944866.9 6438005.8, 944869.3 6438017, 944896.2 6438025.9, 944927.9 6438040.7, 944936.4 6438046.7)",Sentier,0
29,TRONROUT0000002002037860,1437,1438,"LINESTRING (946481.8 6438475.7, 946477.2 6438484.9, 946474.7 6438490.9, 946472 6438501.5, 946467.6 6438512.9, 946463.6 6438521.3, 946455.5 6438531.4)",Sentier,0
30,TRONROUT0000002002242507,1439,1440,"LINESTRING (946199.5 6439286.4, 946195.1 6439259.2, 946194.7 6439244, 946196 6439229.8, 946194.4 6439155.8, 946181.6 6439146.8)",Sentier,0
31,TRONROUT0000002002242508,1441,1440,"LINESTRING (946133.5 6439182.4, 946142.5 6439173.5, 946143.9 6439171.9, 946145.1 6439170.1, 946181.6 6439146.8)",Sentier,0
32,TRONROUT0000002003273175,1442,1443,"LINESTRING (945994 6438812.6, 945991.2 6438811.8, 945978.2 6438808.7, 945961.8 6438805.1, 945949.2 6438803.2, 945941.7 6438801.9, 945936.8 6438801.3)",Route_a_1_chaussee,0
