0,945928.8708610168,6436534.680483058,938.6,no_time_stamp
1,945897.0179462724,6436484.402860098,942.7,no_time_stamp
2,945882.6250342187,6436377.5723196175,954.7,no_time_stamp
3,945856.6628215029,6436347.868675541,959.8,no_time_stamp
4,945870.7498204324,6436248.944352952,988.5,no_time_stamp
5,945922.8171571243,6436131.180814011,1020.8,no_time_stamp
6,945930.653447963,6436060.686660168,1041.1,no_time_stamp
7,945909.9458522733,6436027.74487178,1064.1,no_time_stamp
8,945910.7202694493,6435988.205270994,1076.6,no_time_stamp
9,945886.1450142134,6435987.233666212,1091.3,no_time_stamp
10,945901.2613767923,6435970.046925129,1087.7,no_time_stamp
11,945882.0033401548,6435964.283711455,1102.3,no_time_stamp
12,945901.1607090074,6435928.694285452,1102.2,no_time_stamp
13,945866.1344539551,6435936.6463799495,1124.1,no_time_stamp
14,945882.9816159492,6435897.631004251,1133.2,no_time_stamp
15,945850.0787215224,6435893.773843891,1158.0,no_time_stamp
16,945860.9022197882,6435877.417682376,1160.5,no_time_stamp
17,945824.4584690448,6435879.311766592,1179.5,no_time_stamp
18,945838.7261756145,6435859.645973873,1184.5,no_time_stamp
19,945797.6402569099,6435851.241881021,1207.3,no_time_stamp
20,945822.534046382,6435820.213846523,1212.7,no_time_stamp
21,945860.4561651046,6435739.015414173,1211.9,no_time_stamp
22,945857.011434403,6435654.514621665,1225.1,no_time_stamp
23,945830.3892527438,6435577.5453280015,1244.6,no_time_stamp
24,945821.6373030978,6435521.512105602,1247.7,no_time_stamp
25,945832.8974700111,6435472.160858547,1243.0,no_time_stamp
26,945824.2768985108,6435412.798244203,1249.8,no_time_stamp
27,945818.1990131553,6435350.979618654,1254.9,no_time_stamp
28,945794.8007353926,6435322.155736632,1263.1,no_time_stamp
29,945773.6955392068,6435235.28984831,1262.3,no_time_stamp
30,945711.0227142863,6435194.021719243,1275.5,no_time_stamp
31,945692.0631579943,6435202.609629816,1285.6,no_time_stamp
32,945636.95648428,6435161.529973552,1303.9,no_time_stamp
33,945576.9625242492,6435072.351243206,1331.9,no_time_stamp
34,945556.3808445265,6435036.081163155,1343.8,no_time_stamp
35,945527.1716639315,6435026.480630109,1364.2,no_time_stamp
36,945503.330314324,6434942.842362011,1376.7,no_time_stamp
37,945442.2064003436,6434904.194729181,1407.3,no_time_stamp
38,945415.5521237588,6434915.814478501,1422.7,no_time_stamp
39,945335.4718477372,6434885.645731649,1452.7,no_time_stamp
40,945293.1094211477,6434843.40463268,1469.1,no_time_stamp
41,945275.2479712084,6434846.1460744655,1480.3,no_time_stamp
42,945247.9891269478,6434807.057329914,1492.9,no_time_stamp
43,945217.4703523681,6434828.640421328,1511.3,no_time_stamp
44,945193.1705137196,6434822.56959553,1521.5,no_time_stamp
45,945169.2642767173,6434806.510691248,1524.6,no_time_stamp
46,945043.3698778178,6434779.542225251,1561.0,no_time_stamp
47,944998.1101241173,6434788.763618443,1574.3,no_time_stamp
48,944888.8745611279,6434725.44083758,1602.0,no_time_stamp
49,944816.4539452702,6434650.897428039,1626.1,no_time_stamp
50,944803.710524367,6434673.960137509,1637.5,no_time_stamp
51,944757.5472239582,6434619.902349775,1656.6,no_time_stamp
52,944747.0263503667,6434586.476332405,1655.8,no_time_stamp
53,944683.0040623867,6434492.924573955,1675.4,no_time_stamp
54,944629.5034905834,6434410.680130577,1691.0,no_time_stamp
55,944617.8765545913,6434361.205004453,1694.5,no_time_stamp
56,944624.5861627809,6434321.009566923,1696.1,no_time_stamp
57,944620.2933346512,6434257.595382594,1705.8,no_time_stamp
58,944597.7456602755,6434249.039385553,1712.4,no_time_stamp
59,944558.3880058263,6434194.361572632,1733.5,no_time_stamp
60,944501.6407788994,6434152.449965956,1752.3,no_time_stamp
61,944460.9311871063,6434112.058261288,1770.8,no_time_stamp
62,944460.018687839,6434069.006673634,1772.2,no_time_stamp
63,944436.1830518916,6434030.9454701375,1777.9,no_time_stamp
64,944415.0634386223,6434008.107702694,1784.4,no_time_stamp
65,944396.4143479704,6433942.462481201,1786.1,no_time_stamp
66,944369.7214754241,6433890.728806587,1791.4,no_time_stamp
67,944362.4687963399,6433816.194574186,1794.9,no_time_stamp
68,944329.047639417,6433718.735770916,1820.7,no_time_stamp
69,944352.3484627986,6433663.963772027,1856.0,no_time_stamp
70,944425.8732400135,6433688.748633744,1874.8,no_time_stamp
71,944448.1808917301,6433659.28056197,1894.3,no_time_stamp
72,944475.7433771826,6433668.811041982,1899.3,no_time_stamp
73,944478.6368492716,6433639.358330912,1917.7,no_time_stamp
74,944510.0880429196,6433658.378522171,1925.2,no_time_stamp
75,944538.0442476387,6433635.801844326,1952.8,no_time_stamp
76,944562.049660393,6433627.408594413,1958.1,no_time_stamp
77,944591.9360493228,6433599.906172257,1963.8,no_time_stamp
78,944604.7459980252,6433575.178250036,1974.5,no_time_stamp
79,944587.8833542294,6433574.51535774,1978.7,no_time_stamp
80,944592.9294673426,6433532.475961828,1996.1,no_time_stamp
81,944558.9185674918,6433556.481721419,2000.6,no_time_stamp
82,944567.4182442165,6433512.910773306,2018.1,no_time_stamp
83,944537.993923144,6433528.649382632,2020.3,no_time_stamp
84,944559.7502019579,6433493.157777649,2032.1,no_time_stamp
85,944527.6004370321,6433491.894217596,2043.4,no_time_stamp
86,944558.7102020168,6433475.44373347,2040.8,no_time_stamp
87,944533.3370315344,6433474.44650248,2050.4,no_time_stamp
88,944563.223968422,6433446.943929919,2054.4,no_time_stamp
89,944555.3171436256,6433411.175665656,2074.2,no_time_stamp
